,Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price
25,Google Pixel 3,Google,Pixel 3,2915,5.5,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,37999
26,Asus ROG Phone,Asus,ROG Phone,4000,6.0,Yes,1080,2160,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,69999
27,Samsung Galaxy Note 9,Samsung,Galaxy Note 9,4000,6.4,Yes,1440,2960,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,56999
28,LG G7+ ThinQ,LG,G7+ ThinQ,3000,6.1,Yes,1440,3120,8,6000,128.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,37999
29,Asus ZenFone Max Pro M1,Asus,ZenFone Max Pro M1,5000,5.99,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,9990
30,Huawei P20 Pro,Huawei,P20 Pro,4000,6.1,Yes,1080,2240,8,4000,64.0,40.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,49990
31,OnePlus 6,OnePlus,6,3300,6.28,Yes,1080,2280,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,34999
32,Asus ZenFone 5Z (ZS620KL),Asus,ZenFone 5Z (ZS620KL),3300,6.2,Yes,1080,2246,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,18999
33,Redmi Note 5 Pro,Xiaomi,Redmi Note 5 Pro,4000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,9349
34,Nokia 7 Plus,Nokia,7 Plus,3800,6.0,Yes,1080,2160,8,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,12000
35,Samsung Galaxy S9+,Samsung,Galaxy S9+,3500,6.2,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,29999
36,Samsung Galaxy S9,Samsung,Galaxy S9,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,26999
37,HTC U11+,HTC,U11+,3930,6.0,Yes,1440,2560,8,6000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,52990
38,Samsung Galaxy Note 8,Samsung,Galaxy Note 8,3300,6.3,Yes,1440,2960,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,49999
39,Apple iPhone 8,Apple,iPhone 8,1821,4.7,Yes,750,1334,6,2000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,36999
40,Apple iPhone 8 Plus,Apple,iPhone 8 Plus,2691,5.5,Yes,1080,1920,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,47000
41,Apple iPhone X,Apple,iPhone X,2716,5.8,Yes,1125,2436,6,3000,64.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,69999
42,Motorola Moto Z2 Force,Motorola,Moto Z2 Force,2730,5.5,Yes,1440,2560,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,20999
43,HTC U11,HTC,U11,3000,5.5,Yes,1440,2560,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,53990
44,Nokia 8,Nokia,8,3090,5.3,Yes,1440,2560,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,14994
45,Samsung Galaxy S8+,Samsung,Galaxy S8+,3500,6.2,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,30000
46,Samsung Galaxy S8,Samsung,Galaxy S8,3000,5.8,Yes,1440,2960,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,26994
47,LG G6,LG,G6,3300,5.7,Yes,1440,2880,1,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,23990
48,OnePlus 3T,OnePlus,3T,3400,5.5,Yes,1080,1920,4,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,19999
49,Samsung Galaxy C9 Pro,Samsung,Galaxy C9 Pro,4000,6.0,Yes,1080,1920,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,16999
50,Google Pixel XL,Google,Pixel XL,3450,5.5,Yes,1440,2560,4,4000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,30990
51,Apple iPhone 7 Plus,Apple,iPhone 7 Plus,2900,5.5,Yes,1080,1920,4,3000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,34999
52,Apple iPhone 7,Apple,iPhone 7,1960,4.7,Yes,750,1334,4,2000,32.0,12.0,7.0,iOS,Yes,Yes,Yes,1,Yes,Yes,27999
53,Honor 8,Honor,8,3000,5.2,Yes,1080,1920,8,4000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,20246
54,OnePlus 3,OnePlus,3,3000,5.5,Yes,1080,1920,4,6000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,22999
55,Asus ZenFone 3 Deluxe (ZS570KL),Asus,ZenFone 3 Deluxe (ZS570KL),3000,5.7,Yes,1080,1920,4,6000,256.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,44999
56,Xiaomi Mi 5,Xiaomi,Mi 5,3000,5.15,Yes,1080,1920,4,3000,32.0,16.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,24999
57,Samsung Galaxy S7 Edge,Samsung,Galaxy S7 Edge,3600,5.5,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,39996
58,Samsung Galaxy S7,Samsung,Galaxy S7,3000,5.1,Yes,1440,2560,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,23999
59,Motorola Moto X Force,Motorola,Moto X Force,3760,5.4,Yes,1440,2560,8,3000,32.0,21.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,6994
60,Google Nexus 6P,Huawei,Google Nexus 6P,3450,5.7,Yes,1440,2560,8,3000,32.0,12.3,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,42998
61,Apple iPhone 6s Plus,Apple,iPhone 6s Plus,2750,5.5,Yes,1080,1920,1,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,25990
62,Yu Yureka Plus,Yu,reka Plus,2500,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,5995
63,Samsung Galaxy A8,Samsung,Galaxy A8,3050,5.7,Yes,1080,1920,8,2000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,7299
64,Samsung Galaxy S6,Samsung,Galaxy S6,2550,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,25999
65,Yu Yureka,Yu,reka,2500,5.5,Yes,720,1280,8,2000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,3999
66,Xiaomi Redmi Note,Xiaomi,Redmi Note,3100,5.5,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,7999
67,Realme C3,Realme,C3,5000,6.52,Yes,720,1600,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999
68,Poco X2,Poco,X2,4500,6.67,Yes,1080,2400,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,15999
69,Samsung Galaxy S10 Lite,Samsung,Galaxy S10 Lite,4500,6.7,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,1,No,No,39999
70,Realme 5i,Realme,5i,5000,6.52,Yes,720,1600,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,8999
71,Samsung Galaxy Note 10 Lite,Samsung,Galaxy Note 10 Lite,4500,6.7,Yes,1080,2400,8,6000,128.0,12.0,32.0,Android,Yes,Yes,Yes,1,No,No,38999
72,Vivo V17,Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,21150
73,Vivo U20,Vivo,U20,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,10990
74,Realme 5s,Realme,5s,5000,6.5,Yes,720,1600,8,4000,64.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999
75,Realme X2,Realme,X2,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,16999
76,Vivo V17 Pro,Vivo,V17 Pro,4100,6.44,Yes,1080,2400,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,26220
77,Nubia Red Magic 3S,Nubia,Red Magic 3S,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,47999
78,Samsung Galaxy M30s,Samsung,Galaxy M30s,6000,6.4,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,12999
79,Vivo Z1x,Vivo,Z1x,4500,6.38,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,15990
80,Oppo Reno 2Z,Oppo,Reno 2Z,4000,6.53,Yes,1080,2340,8,8000,256.0,48.0,16.0,Android,Yes,Yes,No,1,No,No,23100
81,Realme XT,Realme,XT,4000,6.4,Yes,1080,2340,8,4000,64.0,64.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,14999
82,Redmi Note 8 Pro,Xiaomi,Redmi Note 8 Pro,4500,6.53,Yes,1080,2340,8,6000,64.0,64.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,13999
83,Nokia 7.2,Nokia,7.2,3500,6.3,Yes,1080,2340,8,4000,64.0,48.0,20.0,Android,Yes,Yes,No,2,Yes,Yes,15377
84,Samsung Galaxy A50s,Samsung,Galaxy A50s,4000,6.4,Yes,1080,2340,8,4000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,16650
85,Realme 5 Pro,Realme,5 Pro,4035,6.3,Yes,1080,2340,8,4000,64.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,11999
86,Realme 5,Realme,5,5000,6.5,Yes,720,1600,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,8600
87,Vivo Z1 Pro,Vivo,Z1 Pro,5000,6.53,Yes,1080,2340,8,4000,64.0,16.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,12990
88,Xiaomi Mi A3,Xiaomi,Mi A3,4030,6.08,Yes,720,1560,8,4000,64.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,11845
89,Asus 6Z,Asus,6Z,5000,6.4,Yes,1080,2340,8,6000,64.0,48.0,48.0,Android,Yes,Yes,Yes,2,Yes,Yes,27999
90,Samsung Galaxy M40,Samsung,Galaxy M40,3500,6.3,Yes,1080,2340,8,6000,128.0,32.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,16879
91,Redmi Note 7S,Xiaomi,Redmi Note 7S,4000,6.3,Yes,1080,2340,8,3000,32.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,8649
92,Motorola One Vision,Motorola,One Vision,3500,6.3,Yes,1080,2520,8,4000,128.0,48.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,13690
93,Nubia Red Magic 3,Nubia,Red Magic 3,5000,6.65,Yes,1080,2340,8,8000,128.0,48.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,35999
94,Oppo A9,Oppo,A9,4020,6.53,Yes,1080,2340,8,4000,128.0,16.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,11990
95,Google Pixel 3a XL,Google,Pixel 3a XL,3700,6.0,Yes,1080,2160,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,34999
96,Samsung Galaxy A70,Samsung,Galaxy A70,4500,6.7,Yes,1080,2400,8,6000,128.0,32.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,22299
97,Black Shark 2,Black Shark,2,4000,6.39,Yes,1080,2340,8,6000,128.0,48.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,29999
98,OnePlus 7,OnePlus,7,3700,6.41,Yes,1080,2340,8,6000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,29999
99,LG G8s ThinQ,LG,G8s ThinQ,3550,6.2,Yes,1080,2248,8,6000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,39990
100,Vivo V15 Pro,Vivo,V15 Pro,3700,6.39,Yes,1080,2340,8,6000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,17973
101,Redmi Note 7,Xiaomi,Redmi Note 7,4000,6.3,Yes,1080,2340,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,9699
102,Xiaomi Redmi 7,Xiaomi,Redmi 7,4000,6.26,Yes,720,1520,8,2000,16.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,7332
103,Samsung Galaxy M20,Samsung,Galaxy M20,5000,6.3,Yes,1080,2340,8,3000,32.0,13.0,8.0,Android,No,Yes,Yes,2,Yes,Yes,9999
104,Samsung Galaxy M30,Samsung,Galaxy M30,5000,6.4,Yes,1080,2340,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,9499
105,Honor View 20,Honor,View 20,4000,6.4,Yes,1080,2310,8,6000,128.0,48.0,25.0,Android,Yes,Yes,Yes,1,No,No,25120
106,Asus ZenFone Max Pro M2,Asus,ZenFone Max Pro M2,5000,6.26,Yes,1080,2280,8,3000,32.0,12.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,11999
107,Google Pixel 3a,Google,Pixel 3a,3000,5.6,Yes,1080,2220,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,30999
108,Realme U1,Realme,U1,3500,6.3,Yes,1080,2340,8,3000,32.0,13.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,8999
109,Honor 10 Lite,Honor,10 Lite,3400,6.21,Yes,1080,2340,8,3000,32.0,13.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,7999
110,Nokia 8.1,Nokia,8.1,3500,6.18,Yes,1080,2244,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,18000
111,Samsung Galaxy A9 (2018),Samsung,Galaxy A9 (2018),3800,6.3,Yes,1080,2220,8,6000,128.0,24.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,22000
112,Oppo K1,Oppo,K1,3600,6.41,Yes,1080,2340,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,1,No,No,9990
113,Nokia 7.1,Nokia,7.1,3060,5.84,Yes,1080,2280,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,No,No,11900
114,Realme 2 Pro,Realme,2 Pro,3500,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,11770
115,Vivo V9 Pro,Vivo,V9 Pro,3260,6.3,Yes,1080,2280,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,16490
116,Samsung Galaxy A7 (2018),Samsung,Galaxy A7 (2018),3300,6.0,Yes,1080,2220,8,4000,64.0,24.0,24.0,Android,Yes,Yes,Yes,2,No,Yes,16490
117,Xiaomi Redmi Note 6 Pro,Xiaomi,Redmi Note 6 Pro,4000,6.26,Yes,1080,2280,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,9580
118,Vivo V11 Pro,Vivo,V11 Pro,3400,6.41,Yes,1080,2340,8,6000,64.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,14990
119,Oppo R17 Pro,Oppo,R17 Pro,3700,6.4,Yes,1080,2340,8,8000,128.0,12.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,21299
120,Nokia 5.1 Plus,Nokia,5.1 Plus,3060,5.86,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,6999
121,Honor 8X,Honor,8X,3750,6.5,Yes,1080,2340,8,4000,64.0,20.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999
122,Poco F1,Poco,F1,4000,6.18,Yes,1080,2246,8,6000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,14990
123,Nokia 6.1 Plus,Nokia,6.1 Plus,3060,5.8,Yes,1080,2280,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,8999
124,Vivo Nex,Vivo,Nex,4000,6.59,Yes,1080,2316,8,8000,128.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,29999
125,Oppo Find X,Oppo,Find X,3730,6.42,Yes,1080,2340,8,8000,256.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,59090
126,Honor Play,Honor,Play,3750,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,18011
127,Realme 1,Realme,1,3410,6.0,Yes,1080,2160,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,10299
128,Xiaomi Mi A2,Xiaomi,Mi A2,3000,5.99,Yes,1080,2160,8,4000,64.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,8990
129,Honor 10,Honor,10,3400,5.84,Yes,1080,2280,8,6000,128.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,16990
130,Oppo F7,Oppo,F7,3400,6.23,Yes,1080,2280,8,4000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,18990
131,Vivo X21,Vivo,X21,3200,6.28,Yes,1080,2280,8,6000,64.0,12.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,18290
132,Nokia 8 Sirocco,Nokia,8 Sirocco,3260,5.5,Yes,1440,2560,8,6000,128.0,12.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,13999
133,Infinix Hot S3,Infinix,Hot S3,4000,5.65,Yes,720,1440,8,3000,32.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999
134,Nokia 6.1,Nokia,6.1,3000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,8849
135,Honor View 10,Honor,View 10,3750,5.99,Yes,1080,2160,8,6000,128.0,16.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,15899
136,Infinix Zero 5 Pro,Infinix,Zero 5 Pro,4350,5.98,Yes,1080,1920,8,6000,128.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,15900
137,Oppo F5,Oppo,F5,3200,6.0,Yes,1080,2160,8,4000,32.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,10499
138,OnePlus 5T,OnePlus,5T,3300,6.01,Yes,1080,2160,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,28499
139,Honor 9i,Honor,9i,3340,5.9,Yes,1080,2160,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,8999
140,Xiaomi Mi MIX 2,Xiaomi,Mi MIX 2,3400,5.99,Yes,1080,2160,8,6000,64.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,29999
141,Lenovo K8 Plus,Lenovo,K8 Plus,4000,5.2,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,6990
142,Mi A1,Xiaomi,Mi A1,3080,5.5,Yes,1080,1920,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999
143,Sony Xperia XZ1,Sony,Xperia XZ1,2700,5.2,Yes,1080,1920,8,4000,32.0,19.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,34990
144,LG V30+,LG,V30+,3300,6.0,Yes,1440,2880,8,4000,128.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,27999
145,Lenovo K8 Note,Lenovo,K8 Note,4000,5.5,Yes,1080,1920,10,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,7299
146,Moto G5S,Motorola,Moto G5S,3000,5.2,Yes,1080,1920,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,9999
147,Google Pixel 2 XL,Google,Pixel 2 XL,3520,6.0,Yes,1440,2880,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,12994
148,Google Pixel 2,Google,Pixel 2,2700,5.0,Yes,1080,1920,8,4000,64.0,12.2,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,9994
149,Motorola Moto X4,Motorola,Moto X4,3000,5.2,Yes,1080,1920,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,12500
150,Moto G5S Plus,Motorola,Moto G5S Plus,3000,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,8500
151,Redmi 5,Xiaomi,Redmi 5,3300,5.7,Yes,720,1440,8,2000,16.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,6499
152,Redmi Note 5,Xiaomi,Redmi Note 5,4000,5.99,Yes,1080,2160,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,8699
153,Jio Phone,Jio,Phone,2000,2.4,No,240,320,2,512,4.0,2.0,0.3,Cyanogen,Yes,Yes,Yes,1,No,Yes,1249
154,Samsung Galaxy On Max,Samsung,Galaxy On Max,3300,5.7,Yes,1080,1920,8,4000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,9890
155,Motorola Moto Z2 Play,Motorola,Moto Z2 Play,3000,5.5,Yes,1080,1920,8,4000,64.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,10499
156,Yu Yureka Black,Yu,reka Black,3000,5.0,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,5990
157,Xiaomi Mi Max 2,Xiaomi,Mi Max 2,5300,6.44,Yes,1080,1920,8,4000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,8999
158,Coolpad Cool Play 6,Coolpad,Cool Play 6,4060,5.5,Yes,1080,1920,8,6000,64.0,13.0,8.0,Android,Yes,Yes,No,2,No,Yes,8999
